US009052008 43.7333 -96.6333 Minnehaha_County South_Dakota
US10butl003 41.1229 -97.3670 Butler_County Nebraska
US10butl004 41.2190 -97.3490 Butler_County Nebraska
US10butl005 41.1850 -97.2542 Butler_County Nebraska
US10butl008 41.1580 -96.9952 Butler_County Nebraska
US10butl010 41.2963 -97.3493 Butler_County Nebraska
US10butl011 41.3221 -97.3465 Butler_County Nebraska
US10butl013 41.3565 -97.2356 Butler_County Nebraska
US10butl015 41.0706 -97.3672 Butler_County Nebraska
US10butl020 41.2557 -97.1301 David_City Butler_County
US10cass001 40.9946 -95.8976 Plattsmouth Cass_County
US10cass005 40.8650 -96.1171 Cass_County Nebraska
US10cass010 40.8048 -96.4467 Cass_County Nebraska
US10cass011 41.0289 -95.9874 Cass_County Nebraska
US10ceda001 42.6280 -97.2700 Hartington Cedar_County
US10ceda002 42.7652 -97.3027 Cedar_County Nebraska
US10ceda003 42.4974 -97.4279 Cedar_County Nebraska
US10ceda004 42.6983 -97.4464 Cedar_County Nebraska
US10ceda005 42.8151 -97.4648 Cedar_County Nebraska
US10ceda006 42.4971 -97.2691 Cedar_County Nebraska
US10ceda008 42.6702 -97.1716 Cedar_County Nebraska
US10ceda009 42.5654 -97.1363 Cedar_County Nebraska
US10ceda010 42.7432 -97.1706 Wynot Cedar_County
US10ceda011 42.8013 -97.3680 Cedar_County Nebraska
US10ceda012 42.5044 -97.2076 Coleridge Cedar_County
US10ceda013 42.6702 -97.1716 Cedar_County Nebraska
US10ceda014 42.3951 -97.0319 Cedar_County Nebraska
US10ceda015 42.3722 -97.3592 Randolph Cedar_County
US10ceda016 42.5973 -97.0220 Cedar_County Nebraska
US10ceda017 42.6787 -97.4261 Cedar_County Nebraska
US10ceda020 42.7043 -97.3915 Cedar_County Nebraska
US10ceda021 42.8092 -97.2482 Saint_Helena Cedar_County
US10ceda026 42.7285 -97.2466 Cedar_County Nebraska
US10chas001 40.5158 -101.6451 Imperial Chase_County
US10chas002 40.4629 -101.5907 Chase_County Nebraska
US10chas003 40.4085 -101.6227 Chase_County Nebraska
US10chas004 40.6257 -101.5369 Chase_County Nebraska
US10chas005 40.5495 -101.7773 Chase_County Nebraska
US10chas006 40.4949 -101.8424 Chase_County Nebraska
US10chas007 40.6290 -101.9119 Chase_County Nebraska
US10chas008 40.5493 -101.9893 Chase_County Nebraska
US10chas009 40.6615 -101.4202 Chase_County Nebraska
US10chas010 40.5253 -101.6226 Chase_County Nebraska
US10chas011 40.5667 -101.7244 Chase_County Nebraska
US10chas012 40.4836 -101.9051 Chase_County Nebraska
US10chas013 40.6768 -101.9156 Chase_County Nebraska
US10chas016 40.5227 -101.9864 Chase_County Nebraska
US10chas017 40.6122 -101.3454 Chase_County Nebraska
US10chas018 40.5089 -101.3614 Chase_County Nebraska
US10chas019 40.5059 -101.4966 Chase_County Nebraska
US10chas021 40.4253 -101.4242 Chase_County Nebraska
US10chas023 40.6832 -101.6432 Chase_County Nebraska
US10chas024 40.3657 -101.4365 Chase_County Nebraska
US10chas025 40.4213 -101.7182 Chase_County Nebraska
US10chas026 40.6249 -101.7822 Chase_County Nebraska
US10chas027 40.4702 -101.7480 Champion Chase_County
US10chas028 40.4688 -101.5410 Chase_County Nebraska
US10chas029 40.4434 -101.7821 Chase_County Nebraska
US10chas030 40.5789 -101.4193 Chase_County Nebraska
US10chas031 40.3793 -101.5415 Chase_County Nebraska
US10chas032 40.3773 -101.8550 Chase_County Nebraska
US10chas033 40.3930 -101.7795 Chase_County Nebraska
US10chas034 40.4309 -101.4868 Chase_County Nebraska
US10chas035 40.6539 -101.4379 Chase_County Nebraska
US10chas036 40.6376 -101.4573 Chase_County Nebraska
US10cher001 42.3495 -101.1024 Cherry_County Nebraska
US10cher004 42.1461 -100.5307 Cherry_County Nebraska
US10cher005 42.8720 -100.5448 Valentine Cherry_County
US10cher006 42.3039 -100.2193 Cherry_County Nebraska
US10cher007 42.9420 -100.7100 Cherry_County Nebraska
US10cher008 42.9975 -100.2211 Cherry_County Nebraska
US10cher009 42.4568 -100.5756 Cherry_County Nebraska
US10cher010 42.1980 -101.7770 Cherry_County Nebraska
US10cher011 42.6624 -100.4779 Cherry_County Nebraska
US10cher012 42.4781 -100.9129 Cherry_County Nebraska
US10cher013 42.3536 -100.6312 Cherry_County Nebraska
US10cher014 42.2930 -100.3597 Cherry_County Nebraska
US10cher016 42.9375 -101.2438 Cody Cherry_County
US10cher017 42.7032 -100.6163 Cherry_County Nebraska
US10cher018 42.9955 -101.7119 Cherry_County Nebraska
US10cher019 42.8679 -101.4056 Cherry_County Nebraska
US10cher022 42.9816 -100.5682 Cherry_County Nebraska
US10cher023 42.6315 -100.6702 Cherry_County Nebraska
US10cher024 42.8200 -101.2825 Cherry_County Nebraska
US10cher025 42.6558 -100.2688 Cherry_County Nebraska
US10cher026 42.4186 -101.5570 Cherry_County Nebraska
US10cher027 42.8978 -101.2733 Cherry_County Nebraska
US10cher028 42.8151 -101.6130 Cherry_County Nebraska
US10cher032 42.6638 -100.6651 Cherry_County Nebraska
US10chey002 41.2638 -102.8855 Cheyenne_County Nebraska
US10chey003 41.4098 -102.9720 Dalton Cheyenne_County
US10chey004 41.1548 -103.1077 Cheyenne_County Nebraska
US10chey005 41.0400 -102.9600 Cheyenne_County Nebraska
US10chey007 41.1270 -102.9700 Sidney Cheyenne_County
US10chey008 41.1491 -102.6355 Lodgepole Cheyenne_County
US10chey009 41.1059 -102.8108 Cheyenne_County Nebraska
US10chey010 41.3766 -103.0495 Cheyenne_County Nebraska
US10chey012 41.2225 -102.7260 Cheyenne_County Nebraska
US10chey013 41.2369 -102.8361 Cheyenne_County Nebraska
US10chey014 41.3945 -103.0327 Cheyenne_County Nebraska
US10chey015 41.2922 -102.8016 Cheyenne_County Nebraska
US10chey016 41.4140 -102.6950 Cheyenne_County Nebraska
US10chey017 41.2098 -103.2978 Cheyenne_County Nebraska
US10chey018 41.3722 -103.1112 Cheyenne_County Nebraska
US10chey019 41.3264 -102.9948 Cheyenne_County Nebraska
US10chey021 41.1554 -102.9844 Sidney Cheyenne_County
US10chey022 41.1271 -102.9594 Sidney Cheyenne_County
US10chey024 41.4188 -102.9737 Cheyenne_County Nebraska
US10chey025 41.1289 -102.9701 Sidney Cheyenne_County
US10chey026 41.2586 -103.2644 Cheyenne_County Nebraska
US10chey027 41.1772 -103.2022 Cheyenne_County Nebraska
US10chey028 41.0317 -102.9277 Cheyenne_County Nebraska
US10chey029 41.3956 -103.3643 Cheyenne_County Nebraska
US10chey030 41.3903 -103.2967 Cheyenne_County Nebraska
US10chey031 41.1750 -102.6462 Cheyenne_County Nebraska
US10chey032 41.0675 -102.6314 Cheyenne_County Nebraska
US10chey033 41.0246 -103.2684 Cheyenne_County Nebraska
US10chey034 41.2661 -102.9896 Cheyenne_County Nebraska
US10chey035 41.1180 -103.1154 Cheyenne_County Nebraska
US10chey036 41.1334 -103.2254 Cheyenne_County Nebraska
US10chey037 41.0622 -103.2221 Cheyenne_County Nebraska
US10chey038 41.2362 -102.6945 Cheyenne_County Nebraska
US10chey041 41.2020 -103.1630 Cheyenne_County Nebraska
US10chey045 41.2807 -102.9306 Cheyenne_County Nebraska
US10chey046 41.1890 -103.2204 Cheyenne_County Nebraska
US10chey047 41.0054 -102.9378 Cheyenne_County Nebraska
US10chey049 41.0492 -103.1975 Cheyenne_County Nebraska
US10chey053 41.0856 -102.6689 Cheyenne_County Nebraska
US10chey056 41.3499 -102.8094 Cheyenne_County Nebraska
US10clay002 40.3504 -97.8970 Nuckolls_County Nebraska
US10clay004 40.5318 -98.1070 Clay_County Nebraska
US10clay005 40.4019 -97.9945 Clay_County Nebraska
US10clay007 40.5099 -98.2439 Clay_County Nebraska
US10clay008 40.4549 -98.0329 Clay_County Nebraska
US10clay009 40.6115 -98.2773 Clay_County Nebraska
US10clay012 40.6698 -98.1668 Clay_County Nebraska
US10clay013 40.4615 -98.0694 Clay_County Nebraska
US10clay015 40.6114 -97.8523 Sutton Clay_County
US10clay017 40.4517 -97.9066 Clay_County Nebraska
US10clay018 40.5260 -98.0537 Clay_Center Clay_County
US10clay019 40.5402 -98.2414 Clay_County Nebraska
US10clay020 40.5245 -98.1652 Clay_County Nebraska
US10clay021 40.4813 -98.1273 Clay_County Nebraska
US10clay023 40.4473 -98.0466 Clay_County Nebraska
US10clay024 40.6942 -98.0532 Clay_County Nebraska
US10clay025 40.4224 -98.2226 Clay_County Nebraska
US10clay027 40.4522 -98.2156 Clay_County Nebraska
US10clay029 40.4086 -98.1087 Clay_County Nebraska
US10clay037 40.5967 -97.8673 Clay_County Nebraska
US10clay039 40.6236 -98.0925 Harvard Clay_County
US10clay041 40.5199 -98.0526 Clay_Center Clay_County
US10colf001 41.7014 -97.0731 Colfax_County Nebraska
US10colf002 41.5837 -97.0027 Colfax_County Nebraska
US10colf003 41.5960 -97.1614 Colfax_County Nebraska
US10colf005 41.4186 -97.2521 Colfax_County Nebraska
US10cumi002 41.8049 -96.6907 Cuming_County Nebraska
US10cumi003 41.8664 -96.7995 Cuming_County Nebraska
US10cumi005 41.9103 -96.6379 Cuming_County Nebraska
US10cumi006 41.9826 -96.9095 Wisner Cuming_County
US10cumi007 41.8200 -96.7100 West_Point Cuming_County
US10cumi008 41.9301 -96.8078 Beemer Cuming_County
US10cumi009 42.0028 -96.5717 Cuming_County Nebraska
US10cumi010 41.7973 -96.7926 Cuming_County Nebraska
US10cumi011 42.0045 -96.7088 Cuming_County Nebraska
US10cumi012 42.0149 -96.5756 Bancroft Cuming_County
US10cust001 41.1325 -99.7503 Custer_County Nebraska
US10cust002 41.6544 -99.4623 Custer_County Nebraska
US10cust003 41.4206 -100.1929 Arnold Custer_County
US10cust004 41.1492 -100.1954 Custer_County Nebraska
US10cust005 41.2685 -99.5322 Custer_County Nebraska
US10cust007 41.2891 -99.3739 Custer_County Nebraska
US10cust008 41.5246 -99.7160 Custer_County Nebraska
US10cust009 41.5285 -99.8369 Custer_County Nebraska
US10cust010 41.1759 -99.6131 Custer_County Nebraska
US10cust011 41.5008 -100.0225 Custer_County Nebraska
US10cust012 41.6293 -99.9052 Custer_County Nebraska
US10cust013 41.6890 -99.9324 Custer_County Nebraska
US10cust014 41.5419 -100.0685 Custer_County Nebraska
US10cust015 41.7171 -99.9848 Custer_County Nebraska
US10cust016 41.6000 -99.7523 Custer_County Nebraska
US10cust017 41.2252 -99.6644 Custer_County Nebraska
US10cust020 41.2793 -100.1589 Custer_County Nebraska
US10cust021 41.4517 -99.9745 Custer_County Nebraska
US10cust022 41.4090 -99.4638 Custer_County Nebraska
US10cust027 41.7346 -99.6987 Custer_County Nebraska
US10cust028 41.6399 -99.3898 Custer_County Nebraska
US10cust029 41.5562 -99.2362 Custer_County Nebraska
US10cust032 41.4189 -99.8858 Custer_County Nebraska
US10cust039 41.2888 -99.9237 Callaway Custer_County
US10cust040 41.2868 -99.7077 Custer_County Nebraska
US10cust041 41.4004 -99.5844 Custer_County Nebraska
US10cust042 41.6273 -99.7410 Custer_County Nebraska
US10cust045 41.4120 -99.6378 Broken_Bow Custer_County
US10dako002 42.3484 -96.6192 Dakota_County Nebraska
US10dako003 42.3882 -96.5916 Hubbard Dakota_County
US10dawe001 42.8292 -102.9939 Chadron Dawes_County
US10dawe002 42.8304 -102.9956 Chadron Dawes_County
US10dawe003 42.7696 -103.0213 Dawes_County Nebraska
US10dawe005 42.7177 -103.0117 Dawes_County Nebraska
US10dawe006 42.6675 -103.2848 Dawes_County Nebraska
US10dawe007 42.8037 -103.0531 Dawes_County Nebraska
US10dawe010 42.6256 -102.8125 Dawes_County Nebraska
US10dawe011 42.5602 -103.0704 Dawes_County Nebraska
US10dawe012 42.7625 -103.3398 Dawes_County Nebraska
US10dawe013 42.5495 -103.3619 Dawes_County Nebraska
US10dawe015 42.4525 -102.9868 Dawes_County Nebraska
US10dawe016 42.6975 -103.3779 Dawes_County Nebraska
US10dawe017 42.4672 -103.1450 Dawes_County Nebraska
US10dawe018 42.5116 -103.1096 Dawes_County Nebraska
US10dawe019 42.7123 -103.0049 Dawes_County Nebraska
US10dawe023 42.4570 -102.9293 Dawes_County Nebraska
US10dawe025 42.8475 -103.0671 Dawes_County Nebraska
US10dawe026 42.6680 -103.0668 Dawes_County Nebraska
US10dawe027 42.6110 -103.0857 Dawes_County Nebraska
US10dawe030 42.4549 -103.2334 Dawes_County Nebraska
US10daws001 40.8658 -99.8494 Dawson_County Nebraska
US10daws002 40.7800 -99.7200 Dawson_County Nebraska
US10daws003 40.7810 -99.5593 Dawson_County Nebraska
US10daws004 40.8844 -100.0327 Dawson_County Nebraska
US10daws005 40.7104 -99.7008 Dawson_County Nebraska
US10daws006 40.6940 -99.5870 Dawson_County Nebraska
US10daws007 41.0007 -100.1654 Dawson_County Nebraska
US10daws008 40.7966 -99.9956 Dawson_County Nebraska
US10daws009 40.8876 -100.1645 Gothenburg Dawson_County
US10daws010 40.9455 -99.5599 Dawson_County Nebraska
US10daws011 40.9238 -99.4457 Dawson_County Nebraska
US10daws012 41.0118 -99.6248 Eddyville Dawson_County
US10daws013 40.7471 -99.4578 Dawson_County Nebraska
US10daws014 40.7135 -99.5213 Dawson_County Nebraska
US10daws015 40.7099 -100.1229 Dawson_County Nebraska
US10daws017 40.8715 -99.9810 Cozad Dawson_County
US10daws018 40.9394 -100.1577 Gothenburg Dawson_County
US10deue001 41.0936 -102.4766 Chappell Deuel_County
US10deue002 41.0955 -102.4710 Chappell Deuel_County
US10deue003 41.0870 -102.4699 Deuel_County Nebraska
US10deue004 41.1496 -102.3234 Deuel_County Nebraska
US10deue005 41.1106 -102.3243 Deuel_County Nebraska
US10deue009 41.0613 -102.0896 Deuel_County Nebraska
US10deue010 41.1297 -102.4565 Deuel_County Nebraska
US10deue012 41.0479 -102.5835 Deuel_County Nebraska
US10deue013 41.0946 -102.4586 Chappell Deuel_County
US10deue015 41.0025 -102.2410 Deuel_County Nebraska
US10deue016 41.0557 -102.0740 Deuel_County Nebraska
US10deue018 41.1828 -102.5743 Deuel_County Nebraska
US10deue020 41.1266 -102.2460 Deuel_County Nebraska
US10deue021 41.0911 -102.5577 Deuel_County Nebraska
US10deue025 41.0942 -102.4764 Chappell Deuel_County
US10dixo001 42.4273 -96.9774 Dixon_County Nebraska
US10dixo003 42.3056 -96.7977 Dixon_County Nebraska
US10dixo005 42.5618 -96.7053 Ponca Dixon_County
US10dixo006 42.5766 -96.8686 Dixon_County Nebraska
US10dodg005 41.6680 -96.6280 Dodge_County Nebraska
US10dodg012 41.6544 -96.5097 Dodge_County Nebraska
US10doug001 41.2201 -96.1474 Douglas_County Nebraska
US10doug002 41.1990 -96.1841 Douglas_County Nebraska
US10doug005 41.2582 -96.1784 Omaha Douglas_County
US10doug006 41.2658 -95.9927 Omaha Douglas_County
US10doug007 41.2811 -96.1593 Douglas_County Nebraska
US10doug009 41.1977 -96.1520 Douglas_County Nebraska
US10doug012 41.2890 -96.3310 Douglas_County Nebraska
US10doug013 41.3337 -95.9828 Omaha Debolt
US10doug014 41.2166 -96.1456 Douglas_County Nebraska
US10doug015 41.3200 -95.9750 Omaha Douglas_County
US10doug018 41.2924 -96.0062 Omaha Douglas_County
US10doug019 41.1977 -96.0737 Omaha Douglas_County
US10doug020 41.2903 -96.0279 Omaha Douglas_County
US10doug021 41.2964 -96.2471 Omaha Douglas_County
US10doug022 41.1140 -96.1323 Sarpy_County Nebraska
US10doug024 41.2844 -96.1014 Omaha Douglas_County
US10doug025 41.3639 -96.1558 Bennington Douglas_County
US10doug029 41.2523 -96.1839 Douglas_County Nebraska
US10doug031 41.2585 -96.2296 Skyline Douglas_County
US10doug033 41.2940 -96.1629 Omaha Douglas_County
US10doug035 41.2690 -96.1160 Omaha Douglas_County
US10doug036 41.3114 -96.1412 Douglas_County Nebraska
US10doug046 41.3003 -96.0398 Omaha Douglas_County
US10doug051 41.3553 -96.2138 Douglas_County Nebraska
US10doug052 41.2538 -96.3304 Douglas_County Nebraska
US10doug053 41.2499 -96.1714 Omaha Douglas_County
US10doug054 41.3121 -96.1779 Douglas_County Nebraska
US10doug055 41.3661 -96.3878 Douglas_County Nebraska
US10doug057 41.2042 -96.1052 Omaha Douglas_County
US10doug059 41.2060 -96.1812 Douglas_County Nebraska
US10doug064 41.3348 -96.3660 Douglas_County Nebraska
US10dund001 40.0535 -101.5336 Benkelman Dundy_County
US10dund002 40.1135 -101.4065 Max Dundy_County
US10dund003 40.0194 -101.3384 Dundy_County Nebraska
US10dund004 40.1626 -101.6806 Dundy_County Nebraska
US10dund005 40.1765 -101.3900 Dundy_County Nebraska
US10dund006 40.2061 -101.3638 Dundy_County Nebraska
US10dund007 40.2213 -101.5863 Dundy_County Nebraska
US10dund008 40.3158 -101.8781 Dundy_County Nebraska
US10dund009 40.2787 -101.6933 Dundy_County Nebraska
US10dund010 40.1177 -101.7821 Dundy_County Nebraska
US10dund011 40.1548 -101.4734 Dundy_County Nebraska
US10dund013 40.2894 -101.3616 Dundy_County Nebraska
US10dund014 40.0757 -101.5947 Dundy_County Nebraska
US10dund015 40.3361 -101.4339 Dundy_County Nebraska
US10dund016 40.3219 -101.5138 Dundy_County Nebraska
US10dund017 40.1390 -101.8625 Dundy_County Nebraska
US10dund018 40.3343 -101.3468 Dundy_County Nebraska
US10dund019 40.1078 -101.5849 Dundy_County Nebraska
US10dund020 40.3347 -101.3795 Dundy_County Nebraska
US10dund022 40.2415 -101.7007 Dundy_County Nebraska
US10dund023 40.1200 -101.7334 Dundy_County Nebraska
US10fill001 40.6386 -97.5560 Fillmore_County Nebraska
US10fill002 40.6340 -97.5841 Fairmont Fillmore_County
US10fill003 40.3785 -97.7300 Fillmore_County Nebraska
US10fill005 40.5402 -97.6720 Fillmore_County Nebraska
US10fill006 40.4067 -97.3739 Fillmore_County Nebraska
US10fill007 40.3509 -97.5014 Fillmore_County Nebraska
US10fill008 40.5195 -97.5985 Geneva Fillmore_County
US10fill010 40.6539 -97.5199 Fillmore_County Nebraska
US10fill011 40.5866 -97.6917 Fillmore_County Nebraska
US10fill012 40.4886 -97.7485 Fillmore_County Nebraska
US10fill014 40.5357 -97.4347 Fillmore_County Nebraska
US10fill015 40.5270 -97.5982 Geneva Fillmore_County
US10fill019 40.4362 -97.4830 Fillmore_County Nebraska
US10fran001 40.0747 -98.8176 Franklin_County Nebraska
US10fran002 40.2732 -99.0295 Franklin_County Nebraska
US10fran003 40.2880 -98.9208 Franklin_County Nebraska
US10fran004 40.0980 -98.9572 Franklin Franklin_County
US10fran005 40.0781 -99.1414 Naponee Franklin_County
US10fran006 40.2623 -99.1075 Franklin_County Nebraska
US10fran007 40.2776 -99.1562 Franklin_County Nebraska
US10fran008 40.1071 -98.9437 Franklin_County Nebraska
US10fran009 40.2478 -98.8561 Franklin_County Nebraska
US10fran013 40.0576 -99.1572 Franklin_County Nebraska
US10fran014 40.3363 -99.0419 Hildreth Franklin_County
US10fran015 40.0999 -98.9228 Franklin_County Nebraska
US10fron002 40.5556 -100.4389 Frontier_County Nebraska
US10fron003 40.3726 -100.4113 Frontier_County Nebraska
US10fron004 40.6295 -100.5277 Frontier_County Nebraska
US10fron005 40.3652 -100.3659 Frontier_County Nebraska
US10fron007 40.6595 -100.6237 Maywood Frontier_County
US10fron008 40.6310 -100.5159 Curtis Frontier_County
US10fron009 40.6199 -100.0473 Frontier_County Nebraska
US10fron010 40.6901 -100.0995 Frontier_County Nebraska
US10fron011 40.5700 -100.1177 Frontier_County Nebraska
US10fron012 40.4063 -100.3632 Frontier_County Nebraska
US10fron014 40.4028 -100.6412 Frontier_County Nebraska
US10fron015 40.5081 -100.6456 Frontier_County Nebraska
US10fron016 40.5523 -100.0582 Frontier_County Nebraska
US10fron017 40.3882 -100.1712 Frontier_County Nebraska
US10fron018 40.5422 -100.2858 Frontier_County Nebraska
US10fron019 40.5021 -100.5022 Frontier_County Nebraska
US10furn001 40.3021 -100.1547 Furnas_County Nebraska
US10furn002 40.2928 -99.6693 Furnas_County Nebraska
US10furn003 40.1823 -99.8051 Furnas_County Nebraska
US10furn004 40.0502 -99.8189 Furnas_County Nebraska
US10furn005 40.3073 -99.9820 Furnas_County Nebraska
US10furn006 40.0096 -99.9996 Furnas_County Nebraska
US10furn007 40.0732 -99.6668 Furnas_County Nebraska
US10furn008 40.0887 -99.8920 Furnas_County Nebraska
US10furn009 40.2179 -100.0153 Furnas_County Nebraska
US10furn010 40.1478 -99.8943 Furnas_County Nebraska
US10furn014 40.1330 -99.8238 Beaver_City Furnas_County
US10furn015 40.2463 -99.9516 Furnas_County Nebraska
US10furn018 40.2499 -99.6375 Oxford Furnas_County
US10furn019 40.2596 -99.7367 Furnas_County Nebraska
US10furn020 40.1145 -100.1042 Wilsonville Furnas_County
US10furn022 40.3083 -99.9056 Furnas_County Nebraska
US10furn024 40.2215 -100.1086 Furnas_County Nebraska
US10furn025 40.2854 -100.1790 Cambridge Furnas_County
US10gage002 40.2799 -96.7359 Beatrice Gage_County
US10gage003 40.0525 -96.5774 Gage_County Nebraska
US10gage004 40.3063 -96.8750 Gage_County Nebraska
US10gage007 40.0305 -96.8817 Gage_County Nebraska
